week,Total Paid DAU,Pre-2026 DAU,2026 DAU,IN,US,BR,DE,ID,FR,MX,GB,IT,ES,PH,CA,PL,CO,NG,AR,ZA,EC,TR,NL,CL,AU,TH,GR,VN,FI,AT,SE,CH,BE,PT,KR,SG,GT,TW,NZ,NO,DK,MY,IE,PA,HR,SV,SI,AL,MK,XK,LU
Week 42,"1,479,192","398,136","1,081,055","298,035","117,204","77,855","68,263","62,087","41,494","36,623","28,192","24,699","22,294","25,172","20,540","18,745","20,500","19,924","17,693","18,266","16,663","13,423","12,665","13,786","12,337","10,753","7,761","8,237","7,268","5,181","5,340","4,633","4,673","5,098","4,423","3,959","5,503","3,539","2,896","2,408","2,554","2,122","1,958","1,936","1,666",962,869,475,242,129,10
Week 43,"1,483,100","394,349","1,088,750","299,956","118,000","78,283","68,834","62,280","41,774","36,816","28,455","24,879","22,443","25,520","20,760","18,865","20,725","20,047","17,892","18,407","16,940","13,515","12,736","13,983","12,562","10,873","7,830","8,342","7,374","5,118","5,381","4,626","4,583","5,162","4,443","3,949","5,599","3,578","2,893","2,416","2,590","2,115","1,962","1,946","1,674",925,865,468,234,123,10
Week 44,"1,486,913","390,624","1,096,289","301,805","118,785","78,698","69,400","62,483","42,052","37,006","28,713","25,057","22,591","25,855","20,975","18,986","20,943","20,163","18,084","18,547","17,208","13,605","12,807","14,174","12,782","10,991","7,899","8,443","7,478","5,059","5,421","4,620","4,500","5,225","4,464","3,941","5,692","3,617","2,889","2,424","2,624","2,109","1,965","1,956","1,681",891,861,463,228,119,11
Week 45,"1,490,623","386,959","1,103,664","303,585","119,558","79,100","69,961","62,695","42,327","37,193","28,968","25,233","22,738","26,178","21,188","19,105","21,155","20,274","18,270","18,685","17,466","13,693","12,878","14,360","12,996","11,106","7,966","8,540","7,581","5,004","5,460","4,614","4,421","5,287","4,484","3,934","5,782","3,654","2,887","2,433","2,658","2,104","1,968","1,966","1,688",858,857,457,221,114,11
Week 46,"1,494,226","383,351","1,110,875","305,297","120,320","79,489","70,516","62,912","42,599","37,376","29,218","25,407","22,884","26,491","21,397","19,224","21,361","20,379","18,451","18,822","17,716","13,780","12,948","14,540","13,207","11,218","8,033","8,632","7,682","4,952","5,500","4,609","4,346","5,347","4,504","3,928","5,868","3,691","2,884","2,442","2,692","2,100","1,972","1,976","1,696",827,854,452,215,110,11
Week 47,"1,497,721","379,800","1,117,921","306,944","121,070","79,865","71,065","63,134","42,868","37,556","29,464","25,578","23,027","26,792","21,602","19,341","21,562","20,479","18,625","18,956","17,959","13,864","13,018","14,715","13,412","11,328","8,099","8,721","7,782","4,902","5,538","4,604","4,275","5,406","4,525","3,923","5,951","3,728","2,883","2,451","2,724","2,097","1,976","1,986","1,703",797,851,447,209,106,12
Week 48,"1,501,107","376,304","1,124,803","308,528","121,808","80,229","71,609","63,357","43,134","37,731","29,706","25,748","23,169","27,083","21,804","19,458","21,756","20,573","18,795","19,088","18,193","13,947","13,087","14,886","13,614","11,434","8,165","8,807","7,880","4,855","5,576","4,599","4,207","5,463","4,545","3,919","6,032","3,763","2,881","2,460","2,756","2,095","1,979","1,996","1,711",769,848,443,203,102,12
Week 49,"1,504,386","372,861","1,131,525","310,051","122,535","80,581","72,146","63,582","43,396","37,903","29,944","25,915","23,308","27,365","22,003","19,573","21,945","20,663","18,959","19,218","18,421","14,027","13,156","15,051","13,811","11,537","8,229","8,888","7,977","4,810","5,614","4,595","4,143","5,520","4,566","3,916","6,110","3,798","2,880","2,469","2,787","2,093","1,983","2,005","1,718",742,845,439,198,98,12
Week 50,"1,507,558","369,470","1,138,089","311,516","123,249","80,922","72,678","63,807","43,654","38,071","30,178","26,079","23,445","27,636","22,198","19,687","22,129","20,749","19,117","19,345","18,642","14,106","13,223","15,212","14,004","11,638","8,293","8,967","8,072","4,766","5,652","4,592","4,081","5,575","4,586","3,913","6,185","3,832","2,879","2,478","2,818","2,092","1,987","2,015","1,726",717,843,435,193,94,13
Week 51,"1,510,627","366,129","1,144,498","312,925","123,951","81,251","73,204","64,033","43,909","38,234","30,407","26,242","23,581","27,899","22,390","19,799","22,308","20,830","19,271","19,470","18,857","14,183","13,291","15,368","14,193","11,736","8,355","9,043","8,167","4,725","5,688","4,588","4,022","5,628","4,606","3,911","6,258","3,866","2,878","2,487","2,848","2,091","1,991","2,024","1,733",692,840,431,188,91,13
Week 52,"1,513,593","362,837","1,150,756","314,281","124,642","81,569","73,723","64,257","44,161","38,394","30,633","26,402","23,714","28,154","22,579","19,910","22,482","20,907","19,421","19,593","19,065","14,258","13,357","15,520","14,378","11,832","8,417","9,115","8,259","4,685","5,725","4,585","3,965","5,681","4,626","3,910","6,329","3,899","2,878","2,496","2,877","2,091","1,995","2,033","1,740",669,838,428,183,88,13
